ID,Credit Score (x),Result (y)
1,450,0
2,480,0
3,510,0
4,530,0
5,550,0
6,570,0
7,585,0
8,590,0
9,600,0
10,605,1
11,610,0
12,615,0
13,620,1
14,625,0
15,628,0
16,630,1
17,632,1
18,635,0
19,640,1
20,645,0
21,650,1
22,655,0
23,660,1
24,665,1
25,670,0
26,675,1
27,680,1
28,682,0
29,685,1
30,690,1
31,695,1
32,700,1
33,702,1
34,705,1
35,710,1
36,720,1
37,735,1
38,740,1
39,755,1
40,760,1
41,775,1
42,780,1
43,790,1
44,800,1
45,810,1
46,820,1
47,830,1
48,840,1
49,845,1
50,850,1
