ID,Fertilizer (x),Yield (y)
1,0.5,5.2
2,0.8,8.1
3,1.1,12.5
4,1.3,15
5,1.6,18.8
6,1.9,22.3
7,2.1,24.5
8,2.3,26.8
9,2.5,29.1
10,2.7,31
11,2.9,33.5
12,3.1,35.2
13,3.3,37
14,3.5,38.8
15,3.7,40
16,3.9,41.5
17,4,42.5
18,4.2,41.2
19,4.5,43.5
20,4.8,44.8
21,5,46.2
22,5.2,47.1
23,5.4,48.5
24,5.6,49
25,5.8,49.8
26,6,50.2
27,6.2,50.5
28,6.4,49.9
29,6.6,49.1
30,6.8,48.5
31,7,47.8
32,7.1,47
33,7.3,46.5
34,7.4,46
35,7.5,45.8
36,7.8,42.1
37,8,41.5
38,8.2,39
39,8.5,36.4
40,8.7,33.2
41,9,29.8
42,9.2,26.5
43,9.4,22
44,9.6,18.5
45,9.8,14.2
46,10,10.1
47,10.2,6.4
48,10.4,3.1
49,10.5,1.5
50,10.6,-1.2
